source,target,value,ip
SECURITY-SSHD-6-INFO_SUCCESS :Successfully authenticated user <*> from <*> on <*> cipher <*> mac <*>,SECURITY-SSHD-6-INFO_USER_LOGOUT :User <*> from <*> logged out on <*>,0.695272,all
SECURITY-SSHD-6-INFO_SUCCESS :Successfully authenticated user <*> from <*> on <*> cipher <*> mac <*>,IP-STANDBY-4-WARN_BADVIP :Mismatching virtual IP address of <*> from group <*> Local address is <*>,0.677178,all
SECURITY-SSHD-6-INFO_SUCCESS :Successfully authenticated user <*> from <*> on <*> cipher <*> mac <*>,ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> VRF: <*>,0.620396,all
SECURITY-SSHD-6-INFO_SUCCESS :Successfully authenticated user <*> from <*> on <*> cipher <*> mac <*>,ROUTING-BGP-5-ADJCHANGE_DETAIL :neighbor <*> Down - BGP Notification <*> <*> <*> <*> VRF: <*> AFI SAFI: <*> <*> AS: <*>,0.620396,all
SECURITY-SSHD-6-INFO_USER_LOGOUT :User <*> from <*> logged out on <*>,SECURITY-SSHD-6-INFO_SUCCESS :Successfully authenticated user <*> from <*> on <*> cipher <*> mac <*>,0.691937,all
SECURITY-SSHD-6-INFO_USER_LOGOUT :User <*> from <*> logged out on <*>,IP-STANDBY-4-WARN_BADVIP :Mismatching virtual IP address of <*> from group <*> Local address is <*>,0.62507,all
SECURITY-SSHD-6-INFO_USER_LOGOUT :User <*> from <*> logged out on <*>,PLATFORM-DPA-2-RX_FAULT :Interface HundredGigE0 <*> <*> <*> Detected <*> Fault,0.611057,all
SSH-5-SSH_CLOSE:SSH Session from 10.159.56.88 tty = <*> for user '' using crypto cipher '' closed,ROUTING-OSPF-5-ADJCHG :Process <*> Nbr <*> on <*> in area <*> from <*> to <*> <*> vrf default vrfid 0x60000000,0.787305,all
SSH-5-SSH_CLOSE:SSH Session from 10.159.56.88 tty = <*> for user '' using crypto cipher '' closed,ROUTING-LDP-5-NSR_SYNC_START :Initial synchronization started for <*> peers,0.722255,all
IP-STANDBY-4-WARN_BADVIP :Mismatching virtual IP address of <*> from group <*> Local address is <*>,SECURITY-SSHD-6-INFO_SUCCESS :Successfully authenticated user <*> from <*> on <*> cipher <*> mac <*>,0.675522,all
IP-STANDBY-4-WARN_BADVIP :Mismatching virtual IP address of <*> from group <*> Local address is <*>,SECURITY-SSHD-6-INFO_USER_LOGOUT :User <*> from <*> logged out on <*>,0.63293,all
PKT_INFRA-LINK-3-UPDOWN :Interface <*> <*> <*> <*> changed state to <*>,PKT_INFRA-LINEPROTO-5-UPDOWN :Line protocol on Interface <*> <*> <*> <*> changed state to <*>,0.773581,all
PKT_INFRA-LINK-3-UPDOWN :Interface <*> <*> <*> <*> changed state to <*>,ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> <*> <*> <*> VRF: <*>,0.679248,all
PKT_INFRA-LINK-3-UPDOWN :Interface <*> <*> <*> <*> changed state to <*>,BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: RX <*>,0.677484,all
PKT_INFRA-LINEPROTO-5-UPDOWN :Line protocol on Interface <*> <*> <*> <*> changed state to <*>,PKT_INFRA-LINK-3-UPDOWN :Interface <*> <*> <*> <*> changed state to <*>,0.773581,all
PKT_INFRA-LINEPROTO-5-UPDOWN :Line protocol on Interface <*> <*> <*> <*> changed state to <*>,ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY :NSR disabled on neighbor <*> on standby RP due to <*> <*> <*> <*> <*> VRF: <*>,0.675896,all
PKT_INFRA-LINEPROTO-5-UPDOWN :Line protocol on Interface <*> <*> <*> <*> changed state to <*>,BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: RX <*>,0.674161,all
PKT_INFRA-LINK-3-UPDOWN :Interface <*> changed state to <*>,PKT_INFRA-LINEPROTO-5-UPDOWN :Line protocol on Interface <*> changed state to <*>,0.777693,all
PKT_INFRA-LINEPROTO-5-UPDOWN :Line protocol on Interface <*> changed state to <*>,PKT_INFRA-LINK-3-UPDOWN :Interface <*> changed state to <*>,0.777693,all
SERVICES-OT-6-TRACK_INFO :track <*> state <*>,ROUTING-LDP-5-NSR_SYNC_START :Initial synchronization started for <*> peers,0.684657,all
SERVICES-OT-6-TRACK_INFO :track <*> state <*>,"ROUTING-LDP-5-NSR_SYNC_PEER_DONE :VRF 'default' 0x60000000 , Peer <*> initial synchronization done",0.712472,all
SERVICES-OT-6-TRACK_INFO :track <*> state <*>,ROUTING-LDP-5-NSR_SYNC_DONE :Initial synchronization successfully done for <*> peers,0.712468,all
LINK-3-UPDOWN:Interface <*> <*> <*> changed state to <*>,LINEPROTO-5-UPDOWN:Line protocol on Interface <*> <*> <*> changed state to <*>,0.755603,all
LINK-3-UPDOWN:Interface <*> <*> <*> changed state to <*>,IOSXE_RP_ALARM-6-INFO:cleared CRITICAL <*> <*> <*> Physical Port Link Down,0.678883,all
LINK-3-UPDOWN:Interface <*> <*> <*> changed state to <*>,IOSXE_RP_ALARM-6-INFO:asserted CRITICAL <*> <*> <*> Physical Port Link Down,0.679669,all
LINEPROTO-5-UPDOWN:Line protocol on Interface <*> <*> <*> changed state to <*>,LINK-3-UPDOWN:Interface <*> <*> <*> changed state to <*>,0.755604,all
LINEPROTO-5-UPDOWN:Line protocol on Interface <*> <*> <*> changed state to <*>,IOSXE_RP_ALARM-6-INFO:cleared CRITICAL <*> <*> <*> Physical Port Link Down,0.655405,all
LINEPROTO-5-UPDOWN:Line protocol on Interface <*> <*> <*> changed state to <*>,IOSXE_RP_ALARM-6-INFO:asserted CRITICAL <*> <*> <*> Physical Port Link Down,0.661986,all
IOSXE_RP_ALARM-6-INFO:cleared CRITICAL <*> <*> <*> Physical Port Link Down,LINK-3-UPDOWN:Interface <*> <*> <*> changed state to <*>,0.678888,all
IOSXE_RP_ALARM-6-INFO:cleared CRITICAL <*> <*> <*> Physical Port Link Down,LINEPROTO-5-UPDOWN:Line protocol on Interface <*> <*> <*> changed state to <*>,0.655409,all
IOSXE_RP_ALARM-6-INFO:cleared CRITICAL <*> <*> <*> Physical Port Link Down,IOSXE_RP_ALARM-6-INFO:asserted CRITICAL <*> <*> <*> Physical Port Link Down,0.690208,all
IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state Speak#011 -> Standby,IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state <*> -> Active,0.675098,all
IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state Speak#011 -> Standby,IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state Active#011 -> Speak,0.673049,all
HA-HA_WD-3-DISK_ALARM_ALERT :A monitored device rootfs: is above 80% utilization. Current utilization = <*> Please remove unwanted user files and configuration rollback points.,HA-HA_WD-3-DISK_ALARM_ALERT :A monitored device misc disk1 harddisk: is above 80% utilization. Current utilization = <*> Please remove unwanted user files and configuration rollback points.,0.636881,all
HA-HA_WD-3-DISK_ALARM_ALERT :A monitored device misc disk1 harddisk: is above 80% utilization. Current utilization = <*> Please remove unwanted user files and configuration rollback points.,HA-HA_WD-3-DISK_ALARM_ALERT :A monitored device rootfs: is above 80% utilization. Current utilization = <*> Please remove unwanted user files and configuration rollback points.,0.636882,all
IOSXE_RP_ALARM-6-INFO:asserted CRITICAL <*> <*> <*> Physical Port Link Down,LINK-3-UPDOWN:Interface <*> <*> <*> changed state to <*>,0.679674,all
IOSXE_RP_ALARM-6-INFO:asserted CRITICAL <*> <*> <*> Physical Port Link Down,LINEPROTO-5-UPDOWN:Line protocol on Interface <*> <*> <*> changed state to <*>,0.661989,all
IOSXE_RP_ALARM-6-INFO:asserted CRITICAL <*> <*> <*> Physical Port Link Down,IOSXE_RP_ALARM-6-INFO:cleared CRITICAL <*> <*> <*> Physical Port Link Down,0.690208,all
PLATFORM-VIC-4-RX_LOS :Interface <*> <*> 0 <*> Detected Rx Loss of Signal,PLATFORM-VIC-4-SIGNAL :Interface <*> <*> <*> <*> Detected Signal failure,0.670136,all
PLATFORM-VIC-4-RX_LOS :Interface <*> <*> 0 <*> Detected Rx Loss of Signal,ETHPORT-5-IF_UP:Interface <*> <*> is up in mode <*>,0.760165,all
PLATFORM-VIC-4-RX_LOS :Interface <*> <*> 0 <*> Detected Rx Loss of Signal,PKT_INFRA-FM-2-FAULT_CRITICAL :ALARM_CRITICAL :OPTICS RX POWER <*> LOW ALARM <*> : <*> <*> <*> <*>,0.619241,all
PLATFORM-VIC-4-SIGNAL :Interface <*> <*> <*> <*> Detected Signal failure,PLATFORM-VIC-4-RX_LOS :Interface <*> <*> 0 <*> Detected Rx Loss of Signal,0.670136,all
PLATFORM-VIC-4-SIGNAL :Interface <*> <*> <*> <*> Detected Signal failure,BGP-3-NOTIFICATION:sent to neighbor <*> 4 0 hold time expired 0 bytes,0.636189,all
PLATFORM-VIC-4-SIGNAL :Interface <*> <*> <*> <*> Detected Signal failure,IFDAMP-5-UPDOWN:interface <*> update IP Routing state to <*> interface is not suppressed,0.66486,all
IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state <*> -> Active,IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state Speak#011 -> Standby,0.675098,all
IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state Active#011 -> Speak,IP-STANDBY-6-INFO_STATECHANGE :<*> <*> state Speak#011 -> Standby,0.673049,all
"SFF8472-3-THRESHOLD_VIOLATION:<*> <*> <*> Temperature high <*> Operating value: <*> C, Threshold value: <*> C.",BFDFSM-6-BFD_SESS_UP:BFD-SYSLOG: BFD session <*> <*> is going UP,0.601258,all
IOSXE_RP_ALARM-6-INFO:asserted <*> Temp: <*> <*> <*> Temp Above Normal,"ENVIRONMENTAL-6-NOTICE:Temp: <*> , Location: <*> State: <*> Reading: <*> Celsius",0.611184,all
IOSXE_RP_ALARM-6-INFO:asserted <*> Temp: <*> <*> <*> Temp Above Normal,ENVIRONMENTAL-6-INFO:Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: FC PWM1: <*> Fan Speed <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*>,0.611184,all
"ENVIRONMENTAL-6-NOTICE:Temp: <*> , Location: <*> State: <*> Reading: <*> Celsius",IOSXE_RP_ALARM-6-INFO:asserted <*> Temp: <*> <*> <*> Temp Above Normal,0.611184,all
"ENVIRONMENTAL-6-NOTICE:Temp: <*> , Location: <*> State: <*> Reading: <*> Celsius",ENVIRONMENTAL-6-INFO:Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: FC PWM1: <*> Fan Speed <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*>,0.78,all
ENVIRONMENTAL-6-INFO:Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: FC PWM1: <*> Fan Speed <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*>,IOSXE_RP_ALARM-6-INFO:asserted <*> Temp: <*> <*> <*> Temp Above Normal,0.611184,all
ENVIRONMENTAL-6-INFO:Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: Temp 1: <*> Temp: Temp 2: <*> Temp: FC PWM1: <*> Fan Speed <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*> Temp: ARAD+0 : <*> Temp: Inlet : <*> Temp: ARAD+1 : <*> Temp: Outlet : <*>,"ENVIRONMENTAL-6-NOTICE:Temp: <*> , Location: <*> State: <*> Reading: <*> Celsius",0.78,all
BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,L2-BFD-6-SESSION_STATE_DOWN :BFD session to neighbor <*> on interface <*> <*> <*> <*> <*> <*> <*> <*>,0.743046,all
BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,ROUTING-MPLS_TE-4-WARN :TE-BFD not configured on intf <*> FRR or Path Protection triggered to be consistent with forwarding,0.706629,all
BFDFSM-6-BFD_SESS_DOWN:BFD-SYSLOG: BFD session <*> <*> going Down Reason: DETECT TIMER EXPIRED,L2-BFD-6-SESSION_DAMPENING_OFF :Session to neighbor <*> on interface <*> moved out of Dampened state.,0.692175,all
LDP-5-SP:<*> session hold up initiated,LDP-5-SP:<*> session recovery <*>,0.727664,all
LDP-5-SP:<*> session hold up initiated,"OSPF-5-ADJCHG:Process 1, Nbr <*> on <*> <*> <*> from <*> to <*> <*> <*>",0.630688,all
LDP-5-SP:<*> session hold up initiated,PLATFORM-VIC-4-SIGNAL :Interface TenGigE0 <*> 0 <*> Detected <*> <*>,0.643512,all
