source,target,value,ip
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,66029-airkuning-aggb01
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,66029-airkuning-aggb01
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,70820-batangkalird-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,70820-batangkalird-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,66029-airkuning-aggb01
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,66029-airkuning-aggb01
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,70820-batangkalird-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,70820-batangkalird-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,30223-tmnsuriajaya-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,70565-vistakiara-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30223-tmnsuriajaya-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,43346-hentianpenawar-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,43346-hentianpenawar-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,30223-tmnsuriajaya-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,70565-vistakiara-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30223-tmnsuriajaya-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,43346-hentianpenawar-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,43346-hentianpenawar-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.48
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,20043-mostyn-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.48
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,20043-mostyn-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,70766-seku8_2shlm-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,10.240.106.105
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.240.106.105
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.240.106.47
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,70766-seku8_2shlm-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.165
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.165
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30154-tmnyakin-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,70766-seku8_2shlm-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.165
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.165
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,70766-seku8_2shlm-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30154-tmnyakin-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,30094-tmsaratok-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30094-tmsaratok-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30135-kgstutong-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,30135-kgstutong-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,30094-tmsaratok-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30094-tmsaratok-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,70565-vistakiara-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,30135-kgstutong-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,30135-kgstutong-acc1
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,70565-vistakiara-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.30
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.30
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.30
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.9,10.244.55.30
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.899453,10.244.71.105
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.899453,10.244.71.105
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.899453,10.244.71.105
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.899453,10.244.71.105
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.898862,10.240.238.44
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.898862,10.240.238.44
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.897765,20067-poring-acc1
Interface <*> <*> <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.895292,10.124.200.98
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.895087,20045-menawoh-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.895087,20045-menawoh-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.893757,70045-menaracelcom-aggb01
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.889544,30078-pknkabong-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.889544,30078-pknkabong-acc1
Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.888577,10.244.26.69
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.886001,70045-menaracelcom-aggb01
Line protocol on Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.884122,30154-tmnyakin-acc1
Interface <*> changed state to <*>,Line protocol on Interface <*> <*> <*> changed state to <*>,0.884122,30154-tmnyakin-acc1
Interface <*> <*> <*> changed state to <*>,Interface <*> changed state to <*>,0.882752,70565-vistakiara-acc1
Interface <*> <*> <*> changed state to <*>,Line protocol on Interface <*> changed state to <*>,0.882752,70565-vistakiara-acc1
Line protocol on Interface <*> <*> <*> changed state to <*>,Line protocol on Interface <*> changed state to <*>,0.882752,70565-vistakiara-acc1
Line protocol on Interface <*> <*> <*> changed state to <*>,Interface <*> changed state to <*>,0.882752,70565-vistakiara-acc1
Line protocol on Interface <*> changed state to <*>,Interface <*> <*> <*> changed state to <*>,0.881418,10.240.238.47
